Category,Observed,Expected
Central Services,238.38482121138406,157.87548467334844
Interdisciplinary,216.49233763074676,166.50815714390228
Economics,946.2417903186573,222.84000292632965
Theology,55.94745803940648,419.48935547589434
Psychology,325.9547555339334,433.24310483575977
Law,63.24495256628557,744.8972126710072
Associated,800.2918997810752,839.417660399444
Medicine,3079.5426903429825,1678.2500548686808
Humanities,807.5893943079543,2440.412612480796
Science,3461.444903916322,2861.9503987124144
