n=1,n=2,n=3,n=4,n=5,n=6,n=7,n=8,n=9,n=10
0.413682351,0.496124552,0.454571854,0.392890735,0.337629983,0.290880664,0.252781253,0.220990777,0.194533677,0.171876057
0.404458084,0.489828817,0.456753151,0.402703996,0.355150086,0.315567622,0.284751432,0.26104669,0.242819391,0.22900777
0.414446228,0.49609974,0.453713756,0.391362782,0.335633443,0.288657612,0.250294746,0.218222468,0.191558183,0.168814048
0.414446228,0.49609974,0.453713756,0.391362782,0.335633443,0.288657612,0.250294746,0.218222468,0.191558183,0.168814048
0.414446228,0.49609974,0.453713756,0.391362782,0.335633443,0.288657612,0.250294746,0.218222468,0.191558183,0.168814048
0.414446228,0.49609974,0.453713756,0.391362782,0.335633443,0.288657612,0.250294746,0.218222468,0.191558183,0.168814048
0.414446228,0.49609974,0.453713756,0.391362782,0.335633443,0.288657612,0.250294746,0.218222468,0.191558183,0.168814048
0.414064381,0.495907172,0.453643232,0.391446249,0.335794884,0.28885493,0.250505773,0.218434097,0.1917637,0.169009257
0.238783925,0.402807982,0.491749697,0.517442695,0.502656525,0.466586939,0.426919814,0.389136115,0.354910936,0.324473872
0.238783925,0.40276473,0.491608422,0.517237006,0.502458415,0.466396689,0.426736056,0.388989349,0.3547918,0.324399567
